I'm 19.	J'ai 19 ans.
I'm OK.	Je vais bien.
I'm OK.	Ça va.
I'm fat.	Je suis gras.
I'm fat.	Je suis gros.
I'm fit.	Je suis en forme.
I'm hit!	Je suis touché !
I'm hit!	Je suis touchée !
I'm ill.	Je suis malade.
I'm sad.	Je suis triste.
I'm shy.	Je suis timide.
I'm wet.	Je suis mouillé.
I'm wet.	Je suis mouillée.
He's wet.	Il est mouillé.
I am fat.	Je suis gras.
I'm back.	Je suis revenu.
I'm back.	Me revoilà.
I'm bald.	Je suis chauve.
I'm busy.	Je suis occupé.
I'm busy.	Je suis occupée.
I'm calm.	Je suis calme.
I'm cold.	J'ai froid.
I'm done.	J'en ai fini.
I'm fine.	Tout va bien.
I'm free!	Je suis libre !
I'm free.	Je suis disponible.
I'm full.	Je suis repu !
I'm full.	Je suis rassasié !
I'm glad.	Je suis content.
I'm home.	Je suis chez moi.
I'm late.	Je suis en retard.
I'm lazy.	Je suis paresseux.
I'm lazy.	Je suis fainéant.
I'm lazy.	Je suis paresseuse.
I'm lazy.	Je suis fainéante.
I'm okay.	Je vais bien.
I'm okay.	Je me porte bien.
I'm safe.	Je suis en sécurité.
I'm sick.	Je suis malade.
I'm sure.	J'en suis certain.
I'm sure.	J'en suis sûr.
I'm sure.	J'en suis sûre.
I'm tall.	Je suis grande.
I'm thin.	Je suis mince.
I'm tidy.	Je suis ordonné.
I'm tidy.	Je suis ordonnée.
I'm ugly.	Je suis laid.
I'm ugly.	Je suis laide.
I'm weak.	Je suis faible.
I'm well.	Je vais bien.
He is ill.	Il est malade.
He is old.	Il est vieux.
He's a DJ.	Il est DJ.
He's good.	Il est bon.
He's rich.	Il est riche.
I am here.	Je suis ici.
I'm a cop.	Je suis flic.
I'm a man.	Je suis un homme.
I'm alone.	Je suis seule.
I'm alone.	Je suis seul.
I'm armed.	Je suis armé.
I'm armed.	Je suis armée.
I'm awake.	Je suis réveillé.
I'm blind.	Je suis aveugle.
I'm broke.	Je suis fauché.
I'm crazy.	Je suis fou.
I'm crazy.	Je suis folle.
I'm cured.	Je suis guéri.
I'm cured.	Je suis guérie.
I'm drunk.	Je suis saoul.
I'm drunk.	Je suis soûl.
I'm drunk.	Je suis ivre.
I'm dying.	Je me meurs.
I'm early.	Je suis en avance.
I'm first.	Je suis en premier.
I'm fussy.	Je suis difficile.
I'm fussy.	Je suis tatillon.
I'm fussy.	Je suis tatillonne.
I'm going.	Je pars maintenant.
I'm going.	Je me tire.
I'm going.	J’y vais.
I'm loyal.	Je suis loyal.
I'm loyal.	Je suis loyale.
I'm lucky.	Je suis veinard.
I'm lucky.	Je suis veinarde.
I'm lucky.	J'ai du pot.
I'm lucky.	Je suis chanceux.
I'm lucky.	Je suis chanceuse.
I'm lying.	Je suis en train de mentir.
I'm quiet.	Je suis tranquille.
I'm ready!	Je suis prête !
I'm ready!	Je suis prêt !
I'm right.	J'ai raison.
I'm sober.	Je suis sobre.
I'm sorry.	Excuse-moi.
I'm sorry.	Désolé.
I'm sorry.	Je suis désolée.
I'm stuck.	Je suis coincée.
I'm timid.	Je suis timide.
I'm tired.	Je suis fatigué !
I'm tough.	Je suis dur.
I'm tough.	Je suis dure.
I'm tough.	Je suis dur à cuire.
I'm yours.	Je suis à toi.
I'm yours.	Je suis à vous.
She's hot.	Elle est chaude.
She's hot.	Elle est très attirante.
We're hot.	Nous avons chaud.
We're sad.	Nous sommes tristes.
We're shy.	Nous sommes timides.
He is busy.	Il a à faire.
He is kind.	Il est gentil.
He is poor.	Il est pauvre.
He's Swiss.	Il est Suisse.
He's Swiss.	Il est Helvète.
He's broke.	Il est ruiné.
He's smart.	Il est intelligent.
I am human.	Je suis humain.
I am tired.	Je suis crevé.
I'm French.	Je suis français.
I'm Korean.	Je suis Coréen.
I'm a hero.	Je suis un héros.
I'm a liar.	Je suis un menteur.
I'm baking!	Je cuis !
I'm better.	Je vais mieux.
I'm buying.	Je paie.
I'm buying.	C'est moi qui paie.
I'm chubby.	Je suis grassouillet.
I'm chubby.	Je suis grassouillette.
I'm eating.	Je mange.
I'm famous.	Je suis connu.
I'm famous.	Je suis connue.
I'm faster.	Je suis plus rapide.
I'm flabby.	Je suis flasque.
I'm greedy.	Je suis cupide.
I'm greedy.	Je suis gourmand.
I'm greedy.	Je suis gourmande.
I'm hiding.	Je me cache.
I'm honest.	Je suis honnête.
I'm humble.	Je suis humble.
I'm hungry!	J'ai faim !
I'm immune.	Je suis immunisé.
I'm immune.	Je suis immunisée.
I'm in bed.	Je suis au lit.
I'm in bed.	Je suis alité.
I'm in bed.	Je suis alitée.
I'm joking.	Je rigole !
I'm loaded.	Je suis saoul.
I'm lonely.	Je me sens seul.
I'm losing.	Je suis en train de perdre.
I'm moving.	Je suis en train de déménager.
I'm normal.	Je suis normal.
I'm normal.	Je suis normale.
I'm paying.	C'est moi qui paie.
I'm paying.	Je suis en train de payer.
I'm pooped.	Je suis crevé.
I'm rested.	Je suis reposé.
I'm rested.	Je suis reposée.
I'm ruined.	Je suis ruiné.
I'm ruined.	Je suis ruinée.
I'm shaken.	Je suis remué.
I'm shaken.	Je suis remuée.
I'm single.	Je suis célibataire.
I'm skinny.	Je suis maigrichon.
I'm skinny.	Je suis maigrichonne.
I'm sleepy!	Je suis fatigué !
I'm sleepy!	J'ai sommeil !
I'm sneaky.	Je suis sournois.
I'm sneaky.	Je suis sournoise.
I'm strict.	Je suis strict.
I'm strict.	Je suis stricte.
I'm strong.	Je suis fort.
I'm strong.	Je suis forte.
I'm thirty.	J'ai trente ans.
I'm wasted.	Je suis affaiblie.
She is old.	Elle est vieille.
She smiled.	Elle a souri.
She's nice.	Elle est gentille.
We are men.	Nous sommes des hommes.
We're back.	Nous sommes de retour.
We're busy.	Nous sommes occupés.
We're busy.	Nous sommes occupées.
We're done.	Nous avons terminé.
We're even.	Nous sommes quittes.
We're fine.	Nous allons bien.
We're here.	Nous sommes là.
We're lost.	Nous sommes perdus.
We're lost.	Nous sommes perdues.
We're rich.	Nous sommes riches.
We're sunk.	On est foutu.
We're sunk.	Nous sommes foutus.
We're weak.	Nous sommes faibles.
You're bad.	Tu es vilain.
You're big.	Tu es grand.
You're big.	Vous êtes grand.
You're big.	Vous êtes grands.
You're big.	Vous êtes grandes.
You're fun.	T'es marrante.
You're fun.	T'es marrant.
You're old.	Vous êtes vieilles.
He is eight.	Il a huit ans.
He is hated.	Il est haï.
He is nasty.	Il est méchant.
He is young.	Il est jeune.
He's a hunk.	C'est un beau mec.
He's a hunk.	C'est un beau gosse.
He's a jerk.	C'est un pauvre type.
He's a nerd.	C'est un binoclard.
He's a slob.	C'est un flemmard.
He's asleep.	Il est endormi.
He's coming.	Il arrive.
He's coming.	Il est en train d'arriver.
He's crying.	Il est en train de pleurer.
He's faking.	Il simule.
He's loaded.	Il est blindé.
He's loaded.	Il est pété de thune.
He's loaded.	Il est plein aux as.
He's my age.	Il a mon âge.
He's not in.	Il n'est pas chez lui.
He's not in.	Il n'est pas à l'intérieur.
I am a cook.	Je suis cuisinier.
I am a monk.	Je suis un moine.
I am joking.	Je plaisante.
I am taller.	Je suis plus grand.
I'm 17, too.	J'ai également dix-sept ans.
I'm Finnish.	Je suis Finlandais.
I'm Finnish.	Je suis Finlandaise.
I'm Italian.	Je suis italien.
I'm a baker.	Je suis boulanger.
I'm a baker.	Je suis boulangère.
I'm all set.	Je suis tout à fait prêt.
I'm ashamed.	J'ai honte.
I'm at home.	Je suis à la maison.
I'm at home.	Je suis dans la maison.
I'm baffled.	Je suis perplexe.
I'm blessed.	Je suis béni.
I'm blessed.	Je suis bénie.
I'm careful.	Je suis prudent.
I'm careful.	Je suis prudente.
I'm certain.	Je suis sûr.
I'm chicken.	J'ai les foies.
I'm chicken.	J'ai les chocottes.
I'm correct.	J'ai raison.
I'm curious.	Je suis curieux.
I'm curious.	Je suis curieuse.
I'm dancing.	Je suis en train de danser.
I'm dieting.	Je suis au régime.
I'm driving.	Je suis en train de conduire.
I'm driving.	Je conduis.
I'm engaged.	Je suis fiancé.
I'm engaged.	Je suis fiancée.
I'm excited.	Je suis excité.
I'm excited.	Je suis excitée.
I'm fasting.	Je fais la diète.
I'm finicky.	Je suis méticuleux.
I'm finicky.	Je suis méticuleuse.
I'm frantic.	Je suis affolé.
I'm frantic.	Je suis affolée.
I'm furious.	Je suis furieux.
I'm healthy.	Je suis en bonne santé.
I'm humming.	Je fredonne.
I'm in luck.	Je suis veinard.
I'm jealous.	Je suis jalouse.
I'm jittery.	J'ai la frousse.
I'm kidding.	Je plaisante.
I'm leaving.	Je pars.
I'm married.	Je suis marié.
I'm married.	Je suis mariée.
I'm no fool.	Je ne suis pas une idiote.
I'm not mad.	Je ne suis pas fou.
I'm on duty.	Je suis en service.
I'm patient.	Je suis patiente.
I'm patient.	Je suis patient.
I'm popular.	Je suis populaire.
I'm psyched.	Je suis remonté.
I'm psychic.	Je suis voyant.
I'm psychic.	Je suis voyante.
I'm puzzled.	Je suis perplexe.
I'm reading.	Je lis.
I'm relaxed.	Je suis détendu.
I'm relaxed.	Je suis détendue.
I'm retired.	Je suis retraité.
I'm retired.	Je suis retraitée.
I'm retired.	Je suis pensionné.
I'm retired.	Je suis pensionnée.
I'm selfish.	Je suis égoïste.
I'm serious.	Je suis sérieux.
I'm shocked.	Je suis choqué.
I'm shocked.	Je suis choquée.
I'm sincere.	Je suis sincère.
I'm sloshed.	Je suis bourré.
I'm sloshed.	Je suis bourrée.
I'm so full.	Je suis tellement rassasié.
I'm starved.	Je meurs de faim !
I'm starved.	J'ai l'estomac dans les talons.
I'm starved.	J'ai la dalle.
I'm starved.	J'ai les crocs.
I'm staying.	Je reste.
I'm stuffed.	Je suis gavé.
I'm stuffed.	Je suis gavée.
I'm stunned.	Je suis sidéré.
I'm stunned.	Je suis sidérée.
I'm talking.	Je suis en train de discuter.
I'm teasing.	Je taquine.
I'm thirsty.	J'ai soif.
I'm through.	J'en ai fini.
I'm too fat.	Je suis trop gros.
I'm touched.	Je suis touché.
I'm unhappy.	Je suis mécontent.
I'm unhappy.	Je suis mécontente.
I'm unlucky.	J'ai la schcoumoune.
I'm wealthy.	Je suis fortuné.
I'm wealthy.	Je suis fortunée.
I'm winning.	Je gagne.
I'm winning.	Je l'emporte.
I'm working.	Je suis en train de travailler.
I'm worried.	Je me fais du souci.
She is curt.	Elle n'a pas de charme.
She is dead.	Elle est morte.
She's a dog.	C'est une enfoirée.
She's a fox.	C'est un renard.
They're bad.	Ils sont mauvais.
They're bad.	Elles sont mauvaises.
We are even.	Nous sommes à égalité.
